Site	Weighted_Copy	Type	Order
C06	2.006819459	BFireAffected	2
C09	1.598805649	BFireAffected	2
C10	1.586794462	BFireAffected	2
C11	2.037832825	BFireAffected	2
C12	2.859698538	BFireAffected	2
C13	1.864257747	BFireAffected	2
C14	1.741437278	BFireAffected	2
C15	3.398625582	BFireAffected	2
C16	1.986940221	BFireAffected	2
C02	2.238244233	CRecovered	3
C03	1.98114471	CRecovered	3
C04	4.111177064	CRecovered	3
C05	1.939710995	CRecovered	3
C07	1.949710591	CRecovered	3
C1	2.388749047	CRecovered	3
C18	2.084302401	CRecovered	3
C08	6.001697839	AAReference	1
C17	2.240081655	AAReference	1
C06	2.006819459	BFireAffected	2
C09	1.598805649	BFireAffected	2
C10	1.586794462	BFireAffected	2
C11	2.037832825	BFireAffected	2
C12	2.859698538	BFireAffected	2
C13	1.864257747	BFireAffected	2
C14	1.741437278	BFireAffected	2
C15	3.398625582	BFireAffected	2
C16	1.986940221	BFireAffected	2
C02	2.238244233	CRecovered	3
C03	1.98114471	CRecovered	3
C04	4.111177064	CRecovered	3
C05	1.939710995	CRecovered	3
C07	1.949710591	CRecovered	3
C1	2.388749047	CRecovered	3
C18	2.084302401	CRecovered	3
C08	6.001697839	AAReference	1
C17	2.240081655	AAReference	1
C06	2.006819459	BFireAffected	2
C09	1.598805649	BFireAffected	2
C10	1.586794462	BFireAffected	2
C11	2.037832825	BFireAffected	2
C12	2.859698538	BFireAffected	2
C13	1.864257747	BFireAffected	2
C14	1.741437278	BFireAffected	2
C15	3.398625582	BFireAffected	2
C16	1.986940221	BFireAffected	2
C02	2.238244233	CRecovered	3
C03	1.98114471	CRecovered	3
C04	4.111177064	CRecovered	3
C05	1.939710995	CRecovered	3
C07	1.949710591	CRecovered	3
C1	2.388749047	CRecovered	3
C18	2.084302401	CRecovered	3
C08	6.001697839	AAReference	1
C17	2.240081655	AAReference	1
