Sample	Status	Resusitation
Cen01_05102014_R1	CRecovered	0.119263037
Cen03_05102014_R1	CRecovered	0.103510896
Cen04_05102014_R1	CRecovered	0.122008101
Cen05_05102014_R1	CRecovered	0.099679601
Cen06_05102014_R1	BFire Affected	0.109157877
Cen07_05102014_R1	CRecovered	0.103070842
Cen10_05102014_R1	BFire Affected	0.055422877
Cen12_06102014_R2	BFire Affected	0.089935008
Cen14_06102014_R1	BFire Affected	0.04496732
Cen15_06102014_R2	BFire Affected	0.094814534
Cen16_06102014_R1	BFire Affected	0.146315262
Cen17_06102014_R1	AReference	0.124261781
