Sample	Status	Sporulation
Cen01_05102014_R1	CRecovered	0.013653561
Cen03_05102014_R1	CRecovered	0.011501211
Cen04_05102014_R1	CRecovered	0.015220327
Cen05_05102014_R1	CRecovered	0.01091729
Cen06_05102014_R1	BFire Affected	0.009208103
Cen07_05102014_R1	CRecovered	0.012313773
Cen10_05102014_R1	BFire Affected	0.009717533
Cen12_06102014_R2	BFire Affected	0.007377481
Cen14_06102014_R1	BFire Affected	0.006535948
Cen15_06102014_R2	BFire Affected	0.00681302
Cen16_06102014_R1	BFire Affected	0.008164435
Cen17_06102014_R1	AReference	0.0184404
