Sample	Status	Toxin
Cen01_05102014_R1	CRecovered	0.771940286
Cen03_05102014_R1	CRecovered	0.687227603
Cen04_05102014_R1	CRecovered	0.738600098
Cen05_05102014_R1	CRecovered	0.746069182
Cen06_05102014_R1	BFire Affected	0.650908254
Cen07_05102014_R1	CRecovered	0.710550319
Cen10_05102014_R1	BFire Affected	0.36366631
Cen12_06102014_R2	BFire Affected	0.522791147
Cen14_06102014_R1	BFire Affected	0.394003268
Cen15_06102014_R2	BFire Affected	0.527039175
Cen16_06102014_R1	BFire Affected	0.489821313
Cen17_06102014_R1	AReference	0.512625045

