Weighted_mean	horizon_s	warming_treatment_s	Experiment	years_warming_s	Order
2.2	A horizon	Heated	Forest	Year_20	2
2.15	O horizon	Heated	Forest	Year_20	2
2.16	O horizon	Heated	Forest	Year_20	2
2.2	O horizon	Heated	Forest	Year_5	2
2.2	A horizon	Heated	Forest	Year_5	2
2.2	O horizon	Heated	Forest	Year_5	2
2.01	A horizon	Heated	Forest	Year_5	2
2.17	O horizon	Heated	Forest	Year_5	2
2.1	A horizon	Heated	Forest	Year_5	2
2.25	O horizon	Heated	Forest	Year_5	2
2.1	A horizon	Heated	Forest	Year_5	2
2.21	O horizon	Heated	Forest	Year_8	2
2.1	A horizon	Heated	Forest	Year_8	2
2.23	O horizon	Heated	Forest	Year_8	2
2.1	A horizon	Heated	Forest	Year_8	2
2.2	O horizon	Heated	Forest	Year_8	2
2.1	A horizon	Heated	Forest	Year_8	2
2.22	O horizon	Heated	Forest	Year_8	2
2.15	A horizon	Heated	Forest	Year_8	2
2.25	O horizon	Heated	Forest	Year_20	2
2.05	A horizon	Heated	Forest	Year_20	2
2.2	O horizon	Heated	Forest	Year_20	2
2.06	A horizon	Heated	Forest	Year_20	2
2.19	O horizon	Heated	Forest	Year_20	2
2.15	A horizon	Heated	Forest	Year_20	2
2.809562618	O horizon	Reference	Forest	Year_5	1
3.291034102	O horizon	Reference	Forest	Year_5	1
2.651134641	O horizon	Reference	Forest	Year_5	1
3.098713739	O horizon	Reference	Forest	Year_5	1
2.852281336	O horizon	Reference	Forest	Year_5	1
2.768187989	O horizon	Reference	Forest	Year_5	1
2.93024196	O horizon	Reference	Forest	Year_5	1
2.662509252	O horizon	Reference	Forest	Year_5	1
2.887461024	O horizon	Reference	Forest	Year_5	1
3.388722521	O horizon	Reference	Forest	Year_5	1
3.168837708	O horizon	Reference	Forest	Year_5	1
3.085074119	O horizon	Reference	Forest	Year_5	1
3.109342931	O horizon	Reference	Forest	Year_5	1
2.941287706	O horizon	Reference	Forest	Year_5	1
2.914801063	O horizon	Reference	Forest	Year_5	1
3.191177805	O horizon	Reference	Forest	Year_5	1
2.801648498	O horizon	Reference	Forest	Year_5	1
2.739900675	O horizon	Reference	Forest	Year_5	1
3.113337439	O horizon	Reference	Forest	Year_5	1
2.578893459	O horizon	Reference	Forest	Year_5	1
2.759256554	O horizon	Reference	Forest	Year_5	1
2.823560885	O horizon	Reference	Forest	Year_5	1
3.053520314	O horizon	Reference	Forest	Year_5	1
2.720320571	O horizon	Reference	Forest	Year_5	1
2.94836445	O horizon	Reference	Forest	Year_5	1
2.802118465	O horizon	Reference	Forest	Year_5	1
3.054001078	O horizon	Reference	Forest	Year_5	1
2.608909251	O horizon	Reference	Forest	Year_5	1
3.171632701	O horizon	Reference	Forest	Year_5	1
3.010660577	O horizon	Reference	Forest	Year_5	1
2.57522857	O horizon	Reference	Forest	Year_5	1
2.495471582	O horizon	Reference	Forest	Year_5	1
2.25	O horizon	Reference	Forest	Year_5	1
2	A horizon	Reference	Forest	Year_5	1
2.3	O horizon	Reference	Forest	Year_5	1
2.35	O horizon	Reference	Forest	Year_5	1
2.2	O horizon	Reference	Forest	Year_5	1
2.1	A horizon	Reference	Forest	Year_5	1
2.45	O horizon	Reference	Forest	Year_5	1
2.11	A horizon	Reference	Forest	Year_5	1
2.5	O horizon	Reference	Forest	Year_5	1
2	A horizon	Reference	Forest	Year_5	1
2.5	O horizon	Reference	Forest	Year_8	1
2	A horizon	Reference	Forest	Year_8	1
2.3	O horizon	Reference	Forest	Year_8	1
2	A horizon	Reference	Forest	Year_8	1
2.1	A horizon	Reference	Forest	Year_8	1
2.3	O horizon	Reference	Forest	Year_8	1
2.25	O horizon	Reference	Forest	Year_8	1
2	A horizon	Reference	Forest	Year_8	1
2.3	O horizon	Reference	Forest	Year_20	1
2.4	O horizon	Reference	Forest	Year_20	1
2	A horizon	Reference	Forest	Year_20	1
2.01	A horizon	Reference	Forest	Year_20	1
2.4	O horizon	Reference	Forest	Year_20	1
2.09	A horizon	Reference	Forest	Year_20	1
2.4	O horizon	Reference	Forest	Year_20	1
2.1	A horizon	Reference	Forest	Year_20	1
