sample	copynum	cover	year	category	Type	Order	Type2
	2.254196643	B	1	ba	1month	2	Fire-Affected
	2.933789106	B	1	ba	1month	2	Fire-Affected
	2.37861094	B	1	ba	1month	2	Fire-Affected
	9.195257316	B	1	ba	1month	2	Fire-Affected
	3.392823596	B	1	ba	1month	2	Fire-Affected
	2.916379717	B	1	ba	1month	2	Fire-Affected
	5.359522097	B	1	ba	1month	2	Fire-Affected
	8.717123671	B	1	ba	1month	2	Fire-Affected
	2.785391404	B	1	ba	1month	2	Fire-Affected
	3.058083733	B	1	ba	1month	2	Fire-Affected
	8.910163642	B	1	ba	1month	2	Fire-Affected
	2.520363044	B	1	ba	1month	2	Fire-Affected
	3.576086536	B	1	ba	1month	2	Fire-Affected
	4.557605272	B	1	ba	1month	2	Fire-Affected
	2.476697736	B	1	ba	1month	2	Fire-Affected
	2.296444954	B	1	ba	1month	2	Fire-Affected
	2.322580645	B	1	ba	1month	2	Fire-Affected
	5.787913341	B	1	ba	1month	2	Fire-Affected
	6.122578429	B	1	ba	1month	2	Fire-Affected
	2.349993406	T	1	ta	Reference_1mo	1	Reference
	2.331304235	T	1	ta	Reference_1mo	1	Reference
	2.411835861	T	1	ta	Reference_1mo	1	Reference
	2.324816045	T	1	ta	Reference_1mo	1	Reference
	2.365318338	T	1	ta	Reference_1mo	1	Reference
	2.479951764	T	1	ta	Reference_1mo	1	Reference
	2.302479513	T	1	ta	Reference_1mo	1	Reference
	2.363054778	T	1	ta	Reference_1mo	1	Reference
	2.42458461	T	1	ta	Reference_1mo	1	Reference
	2.256957682	T	1	ta	Reference_1mo	1	Reference
	2.260869565	T	1	ta	Reference_1mo	1	Reference
	2.453139644	T	1	ta	Reference_1mo	1	Reference
	2.463552514	T	1	ta	Reference_1mo	1	Reference
	2.235245521	T	1	ta	Reference_1mo	1	Reference
	2.271179652	T	1	ta	Reference_1mo	1	Reference
	2.310632876	T	1	ta	Reference_1mo	1	Reference
	2.347350915	T	1	ta	Reference_1mo	1	Reference
	2.333767532	T	1	ta	Reference_1mo	1	Reference
	2.279629132	T	1	ta	Reference_1mo	1	Reference
	2.490364149	T	1	ta	Reference_1mo	1	Reference
	2.198418771	T	1	ta	Reference_1mo	1	Reference
	3.006833713	T	1	ta	Reference_1mo	1	Reference
	4.964983888	B	2	bb	4month	4	Fire-Affected
	6.366478466	B	2	bb	4month	4	Fire-Affected
	3.32361516	B	2	bb	4month	4	Fire-Affected
	4.480562853	B	2	bb	4month	4	Fire-Affected
	5.926787357	B	2	bb	4month	4	Fire-Affected
	5.413197465	B	2	bb	4month	4	Fire-Affected
	4.250704225	B	2	bb	4month	4	Fire-Affected
	6.590020261	B	2	bb	4month	4	Fire-Affected
	6.032267702	B	2	bb	4month	4	Fire-Affected
	3.101061375	B	2	bb	4month	4	Fire-Affected
	6.470625962	B	2	bb	4month	4	Fire-Affected
	2.335384615	B	2	bb	4month	4	Fire-Affected
	6.641754108	B	2	bb	4month	4	Fire-Affected
	2.297926365	B	2	bb	4month	4	Fire-Affected
	5.262795106	B	2	bb	4month	4	Fire-Affected
	4.426869557	B	2	bb	4month	4	Fire-Affected
	3.170782106	B	2	bb	4month	4	Fire-Affected
	4.903309781	B	2	bb	4month	4	Fire-Affected
	5.26748526	B	2	bb	4month	4	Fire-Affected
	5.228686485	B	2	bb	4month	4	Fire-Affected
	5.171030002	B	2	bb	4month	4	Fire-Affected
	2.246220302	T	2	tb	Reference_4mo	3	Reference
	2.573348981	T	2	tb	Reference_4mo	3	Reference
	2.331070496	T	2	tb	Reference_4mo	3	Reference
	2.39070697	T	2	tb	Reference_4mo	3	Reference
	2.504311832	T	2	tb	Reference_4mo	3	Reference
	2.118188795	T	2	tb	Reference_4mo	3	Reference
	2.304558681	T	2	tb	Reference_4mo	3	Reference
	2.265201256	T	2	tb	Reference_4mo	3	Reference
	2.456001582	T	2	tb	Reference_4mo	3	Reference
	2.346969245	T	2	tb	Reference_4mo	3	Reference
	2.229367631	T	2	tb	Reference_4mo	3	Reference
	2.255951922	T	2	tb	Reference_4mo	3	Reference
	2.259385666	T	2	tb	Reference_4mo	3	Reference
	2.201675816	T	2	tb	Reference_4mo	3	Reference
	2.30235341	T	2	tb	Reference_4mo	3	Reference
	2.180887372	T	2	tb	Reference_4mo	3	Reference
	2.39483467	T	2	tb	Reference_4mo	3	Reference
	2.151898734	T	2	tb	Reference_4mo	3	Reference
	2.433782945	T	2	tb	Reference_4mo	3	Reference
	2.286221673	T	2	tb	Reference_4mo	3	Reference
	2.396006656	T	2	tb	Reference_4mo	3	Reference
	2.292950034	T	2	tb	Reference_4mo	3	Reference
	2.373699851	T	2	tb	Reference_4mo	3	Reference
27D	2.442645757	d	j	dj	29months	6	Fire-Affected
33D	2.392506723	d	j	dj	29months	6	Fire-Affected
35D	2.595957687	d	j	dj	29months	6	Fire-Affected
38D	2.428766026	d	j	dj	29months	6	Fire-Affected
39D	2.424489248	d	j	dj	29months	6	Fire-Affected
40D	2.355410976	d	j	dj	29months	6	Fire-Affected
44D	2.538718972	d	j	dj	29months	6	Fire-Affected
45D	2.56330606	d	j	dj	29months	6	Fire-Affected
49D	2.602002004	d	j	dj	29months	6	Fire-Affected
50D	2.621941703	d	j	dj	29months	6	Fire-Affected
35T	2.043886828	t	j	tj	Reference_29mo	5	Reference
36T	2.22330607	t	j	tj	Reference_29mo	5	Reference
40T	2.278365871	t	j	tj	Reference_29mo	5	Reference
41T	2.241198327	t	j	tj	Reference_29mo	5	Reference
43T	2.226470399	t	j	tj	Reference_29mo	5	Reference
45T	2.19964174	t	j	tj	Reference_29mo	5	Reference
47T	2.225350608	t	j	tj	Reference_29mo	5	Reference
48T	2.354232012	t	j	tj	Reference_29mo	5	Reference
49T	2.263305144	t	j	tj	Reference_29mo	5	Reference
50T	2.190159287	t	j	tj	Reference_29mo	5	Reference
10B	2.513168594	b	o	do	33months	8	Fire-Affected
11B	2.494734905	b	o	do	33months	8	Fire-Affected
12B	2.237667068	b	o	do	33months	8	Fire-Affected
13B	2.475066637	b	o	do	33months	8	Fire-Affected
14B	2.704932242	b	o	do	33months	8	Fire-Affected
15B	2.564995	b	o	do	33months	8	Fire-Affected
16B	2.468017071	b	o	do	33months	8	Fire-Affected
17B	2.533454154	b	o	do	33months	8	Fire-Affected
18B	2.376976567	b	o	do	33months	8	Fire-Affected
19B	2.549081139	b	o	do	33months	8	Fire-Affected
1B	2.478498379	b	o	do	33months	8	Fire-Affected
20B	2.498896789	b	o	do	33months	8	Fire-Affected
21B	2.572206819	b	o	do	33months	8	Fire-Affected
22B	2.470428501	b	o	do	33months	8	Fire-Affected
23B	2.496169028	b	o	do	33months	8	Fire-Affected
24B	2.424527232	b	o	do	33months	8	Fire-Affected
25B	2.631826551	b	o	do	33months	8	Fire-Affected
2B	2.388255482	b	o	do	33months	8	Fire-Affected
3B	2.48356844	b	o	do	33months	8	Fire-Affected
4B	2.535700803	b	o	do	33months	8	Fire-Affected
5B	2.438392627	b	o	do	33months	8	Fire-Affected
6B	2.486582102	b	o	do	33months	8	Fire-Affected
7B	2.462168622	b	o	do	33months	8	Fire-Affected
8B	2.437654435	b	o	do	33months	8	Fire-Affected
9B	2.427186566	b	o	do	33months	8	Fire-Affected
10T	2.231790377	t	o	to	Reference_33mo	7	Reference
11T	2.215804976	t	o	to	Reference_33mo	7	Reference
12T	2.172019871	t	o	to	Reference_33mo	7	Reference
13T	2.136622367	t	o	to	Reference_33mo	7	Reference
14T	1.899882198	t	o	to	Reference_33mo	7	Reference
15T	2.208745016	t	o	to	Reference_33mo	7	Reference
16T	2.152857729	t	o	to	Reference_33mo	7	Reference
17T	2.160581079	t	o	to	Reference_33mo	7	Reference
18T	2.261596646	t	o	to	Reference_33mo	7	Reference
19T	2.23090045	t	o	to	Reference_33mo	7	Reference
1T	2.190594565	t	o	to	Reference_33mo	7	Reference
20T	2.160490863	t	o	to	Reference_33mo	7	Reference
21T	2.223753819	t	o	to	Reference_33mo	7	Reference
22T	2.226854838	t	o	to	Reference_33mo	7	Reference
23T	2.109549008	t	o	to	Reference_33mo	7	Reference
24T	2.184668281	t	o	to	Reference_33mo	7	Reference
25T	2.208815857	t	o	to	Reference_33mo	7	Reference
26T	2.193539926	t	o	to	Reference_33mo	7	Reference
2T	2.179534397	t	o	to	Reference_33mo	7	Reference
3T	2.283486706	t	o	to	Reference_33mo	7	Reference
4T	2.144139441	t	o	to	Reference_33mo	7	Reference
5T	2.214400743	t	o	to	Reference_33mo	7	Reference
6T	2.269175616	t	o	to	Reference_33mo	7	Reference
7T	2.333522828	t	o	to	Reference_33mo	7	Reference
8T	2.323517333	t	o	to	Reference_33mo	7	Reference
9T	2.114473266	t	o	to	Reference_33mo	7	Reference
