Burned	Time_Since_Burn	Sporulation	Toxins	Rsuscitation
Reference	A_Reference	1	910	4
Reference	A_Reference	14	524	1
Reference	A_Reference	39	402	1
Reference	A_Reference	50	340	2
Reference	A_Reference	11	318	1
Reference	A_Reference	4	521	2
Reference	A_Reference	93	232	2
Reference	A_Reference	11	271	1
Reference	A_Reference	25	465	1
Reference	A_Reference	68	623	2
Reference	A_Reference	43	495	2
Reference	A_Reference	14	489	0
Reference	A_Reference	55	424	1
Reference	A_Reference	25	438	2
Reference	A_Reference	55	361	0
Reference	A_Reference	48	342	1
Reference	A_Reference	168	481	0
Reference	A_Reference	14	810	1
Reference	A_Reference	18	714	1
Reference	A_Reference	84	498	1
Reference	A_Reference	2	828	0
Reference	A_Reference	11	400	0
Reference	A_Reference	120	312	1
Reference	A_Reference	113	644	0
Reference	A_Reference	2	292	1
Reference	A_Reference	33	297	2
Reference	C_Reference	4	403	1
Reference	C_Reference	21	394	0
Reference	C_Reference	23	239	0
Reference	C_Reference	38	560	0
Reference	C_Reference	2	367	12
Reference	C_Reference	1	330	12
Reference	C_Reference	7	429	0
Reference	C_Reference	35	407	1
Reference	C_Reference	2	347	1
Reference	C_Reference	42	306	0
Reference	C_Reference	89	537	2
Reference	C_Reference	34	328	0
Reference	C_Reference	27	272	8
Reference	C_Reference	24	309	12
Reference	C_Reference	1	418	2
Reference	C_Reference	1	470	2
Reference	C_Reference	2	699	0
Reference	C_Reference	0	458	1
Reference	C_Reference	1	592	0
Burned	D_T3	3	542	1
Burned	D_T3	42	684	1
Burned	D_T3	117	1021	0
Burned	D_T3	150	722	0
Burned	D_T3	33	507	1
Burned	D_T3	12	329	4
Burned	D_T3	279	909	7
Burned	D_T3	33	739	0
Burned	D_T3	75	333	0
Burned	D_T3	204	801	1
Burned	D_T3	129	641	1
Burned	D_T3	42	826	0
Burned	D_T3	165	593	4
Burned	D_T3	75	488	1
Burned	D_T3	165	763	4
Burned	D_T3	144	480	1
Burned	D_T3	504	563	0
Burned	D_T3	42	717	1
Burned	D_T3	54	802	2
Burned	D_T3	252	361	1
Burned	D_T3	6	824	0
Burned	F_T3	33	959	1
Burned	F_T3	360	496	1
Burned	F_T3	339	883	4
Burned	F_T3	6	809	0
Burned	F_T3	99	441	3
Burned	F_T3	12	790	4
Burned	F_T3	63	739	0
Burned	F_T3	69	682	2
Burned	F_T3	114	330	1
Burned	F_T3	6	505	0
Burned	F_T3	3	587	0
Burned	F_T3	21	760	2
Burned	F_T3	105	777	8
Burned	F_T3	6	609	18
Burned	F_T3	126	1149	1
Burned	F_T3	267	677	19
Burned	F_T3	102	284	2
Burned	F_T3	81	532	0
Burned	F_T3	72	319	0
Reference	E_Reference	0.99	900.9	3.96
Reference	E_Reference	13.86	518.76	0.99
Reference	E_Reference	38.61	397.98	0.99
Reference	E_Reference	49.5	336.6	1.98
Reference	E_Reference	10.89	314.82	0.99
Reference	E_Reference	3.96	515.79	1.98
Reference	E_Reference	92.07	229.68	1.98
Reference	E_Reference	10.89	268.29	0.99
Reference	E_Reference	24.75	460.35	0.99
