TimeFull	Sporulation	Toxin/AntiToxin
Time2	6	282
Time2	10	216
Time2	12	285
Time2	16	200
Time2	17	337
Time2	18	53
Time2	20	244
Time2	22	201
Time2	26	262
Time2	26	388
Time2	29	270
Time2	35	357
Time2	35	345
Time2	37	186
Time3	6	202
Time3	6	282
Time3	8	425
Time3	10	240
Time3	20	253
Time3	21	164
Time3	26	75
Time3	26	304
Time3	27	103
Time3	29	112
Time3	30	289
Time3	37	363
Time3	39	166
Time3	43	218
Time4	3	131
Time4	5	373
Time4	7	354
Time4	7	284
Time4	11	323
Time4	11	220
Time4	15	100
Time4	19	96
Time4	21	108
Time4	23	229
Time4	24	143
Time4	29	213
Time4	30	167
Time4	36	239
Time6	0	121
Time6	0	158
Time6	5	239
Time6	7	171
Time6	9	274
Time6	13	211
Time6	15	316
Time6	15	121
Time6	19	265
Time6	22	104
Time6	22	150
Time6	24	130
Time6	29	169
Time6	42	125
Time7	1	151
Time7	4	279
Time7	5	26
Time7	8	127
Time7	9	171
Time7	13	186
Time7	13	184
Time7	14	153
Time7	17	92
Time7	17	170
Time7	17	148
Time7	19	108
Time7	26	164
Time7	28	108
Time8	2	71
Time8	7	150
Time8	9	144
Time8	10	209
Time8	14	147
Time8	15	147
Time8	16	146
Time8	19	159
Time8	20	138
Time8	22	165
Time8	25	189
Time8	25	179
Time8	31	324
Time9	0	183
Time9	1	186
Time9	1	202
Time9	3	131
Time9	3	260
Time9	3	182
Time9	5	158
Time9	6	191
Time9	12	186
Time9	17	130
Time9	20	188
Time9	32	141
Time9	39	218
Time9	64	233
