WeightedCopyNo	TimeFull2	T
9.471365639	Time1	19
9.214559387	Time1	19
9.863636364	Time1	19
9.774891775	Time1	19
9.356666667	Time1	19
9.478827362	Time1	19
9.69023569	Time1	19
9.82527881	Time1	19
9.690987124	Time1	19
9.830508475	Time1	19
9.391447368	Time1	19
8.422794118	Time1	19
8.654805195	Time1	19
8.466453674	Time1	19
9.630434783	Time2	23.5
9.723735409	Time2	23.5
8.960144928	Time2	23.5
9.542056075	Time2	23.5
9.709401709	Time2	23.5
8.708683473	Time2	23.5
6.845730028	Time2	23.5
9.42	Time2	23.5
10.65994236	Time2	23.5
11.3075	Time2	23.5
6.268722467	Time2	23.5
9.73580786	Time2	23.5
5.400641026	Time2	23.5
8.997830803	Time2	23.5
10.41290323	Time3	27.5
7.670184697	Time3	27.5
9.81741573	Time3	27.5
8.795986622	Time3	27.5
11.84097035	Time3	27.5
4.450160772	Time3	27.5
8.62962963	Time3	27.5
8.818930041	Time3	27.5
8.714814815	Time3	27.5
7.872062663	Time3	27.5
8.631123919	Time3	27.5
8.314814815	Time3	27.5
8.658767773	Time3	27.5
7.569721116	Time3	27.5
6.06741573	Time4	43.5
5.442379182	Time4	43.5
4.921686747	Time4	43.5
4.996923077	Time4	43.5
5.996428571	Time4	43.5
8.328267477	Time4	43.5
8.434108527	Time4	43.5
8.451871658	Time4	43.5
9.229102167	Time4	43.5
5.490494297	Time4	43.5
9.311614731	Time4	43.5
8.750507099	Time4	43.5
8.630434783	Time4	43.5
8.893693694	Time4	43.5
5.319767442	Time6	51
5.288	Time6	51
5.788461538	Time6	51
5.942307692	Time6	51
6.846645367	Time6	51
6.084656085	Time6	51
3.010752688	Time6	51
7.507739938	Time6	51
6.606177606	Time6	51
6.822695035	Time6	51
7.82962963	Time6	51
7.879012346	Time6	51
6.695979899	Time6	51
6.792727273	Time6	51
5.95	Time7	67
5.455497382	Time7	67
5.693333333	Time7	67
5.986486486	Time7	67
5.564516129	Time7	67
6.245454545	Time7	67
6.217391304	Time7	67
4.876237624	Time7	67
4.348973607	Time7	67
4.8996139	Time7	67
8.633587786	Time7	67
4.876484561	Time7	67
5.966237942	Time7	67
5.805668016	Time8	99
5.155555556	Time8	99
4.342281879	Time8	99
4.458536585	Time8	99
4.785123967	Time8	99
7.171641791	Time8	99
5.245714286	Time8	99
5.576530612	Time8	99
5.641414141	Time8	99
5.634441088	Time8	99
5.851936219	Time8	99
3.446428571	Time8	99
5.85199241	Time8	99
6.842217484	Time8	99
