Type	Experiment	Weighted_Copy	Sporulation	Resuscitation	Toxins
FireAffected	Centralia	1.586794462	0	0	26
FireAffected	Centralia	1.586794462	0	0	53
FireAffected	Centralia	1.586794462	0	0	71
FireAffected	Centralia	1.598805649	0	0	75
FireAffected	Centralia	1.598805649	0	0	92
FireAffected	Centralia	1.598805649	0	0	96
FireAffected	Centralia	1.741437278	0	0	100
FireAffected	Centralia	1.741437278	0	0	103
FireAffected	Centralia	1.741437278	0	0	104
FireAffected	Centralia	1.864257747	0	0	108
FireAffected	Centralia	1.864257747	0	0	108
FireAffected	Centralia	1.864257747	0	0	108
FireAffected	Centralia	1.939710995	0	0	112
FireAffected	Centralia	1.939710995	0	0	121
FireAffected	Centralia	1.939710995	0	0	121
FireAffected	Centralia	1.949710591	0	0	123
FireAffected	Centralia	1.949710591	0	0	126
FireAffected	Centralia	1.949710591	0	0	127
FireAffected	Centralia	1.98114471	0	0	130
FireAffected	Centralia	1.98114471	0	0	130
FireAffected	Centralia	1.98114471	0	0	131
FireAffected	Centralia	1.986940221	1	0	131
FireAffected	Centralia	1.986940221	1	0	138
FireAffected	Centralia	1.986940221	1	0	141
FireAffected	Harvard	2	1	0	142
FireAffected	Harvard	2	1	0	143
FireAffected	Harvard	2	1	0	144
Recovered	Harvard	2	1	0	144
Recovered	Harvard	2	1	0	146
Recovered	Harvard	2	1	0	147
Recovered	Centralia	2.006819459	1	0	147
Recovered	Centralia	2.006819459	1	0	148
Recovered	Centralia	2.006819459	1	0	150
Recovered	Harvard	2.01	1	0	150
Recovered	Harvard	2.01	1	0	151
Recovered	Centralia	2.037832825	1	0	153
Recovered	Centralia	2.037832825	1	0	158
Recovered	Centralia	2.037832825	1	0	158
Recovered	Harvard	2.05	1	0	159
Recovered	Harvard	2.06	1	0	164
Recovered	Centralia	2.084302401	1	0	164
Recovered	Centralia	2.084302401	1	0	165
Recovered	Centralia	2.084302401	1	0	165
Recovered	Harvard	2.09	1	0	166
Recovered	Harvard	2.1	1	0	167
Recovered	Harvard	2.1	1	0	168
Recovered	Harvard	2.1	1	0	169
Recovered	Harvard	2.1	1	0	170
Reference	Harvard	2.1	1	0	171
Reference	Harvard	2.1	1	0	171
Reference	Harvard	2.1	1	0	173
Reference	Harvard	2.1	2	0	179
